3858,Einführung in CampusNet,Schriftliche Prüfung,,"Mi, 1. Mai 2019 08:00 09:30",,
,3502458,Laura,Sophia,zu Becker,,
,3503569,Ben,Alexander,Baron Müller,,
,3504670,Sophie,Maria,von Fischer,,
,3505781,Max,Michael,zu Richter,,
,3506892,Emma,Sophia,Baron Weber,,
,3507903,Paul,Elisabeth,von Bauer,,
,3509014,Mia,Karl,zu Schneider,,
,3510125,Leon,David,Baron Koch,,
,3511236,Anna,Michael,von Wagner,,
,3512347,Lukas,Johannes,zu Becker,,
,3513458,Laura,Sophia,Baron Müller,,
,3514569,Ben,Alexander,von Fischer,,
,3515670,Sophie,Maria,zu Richter,,
,3516781,Max,Michael,Baron Weber,,
,3517892,Emma,Sophia,von Bauer,,
,3518903,Paul,Elisabeth,zu Schneider,,
,3520014,Mia,Karl,Baron Koch,,
,3521125,Leon,David,von Wagner,,
,3522236,Anna,Michael,zu Becker,,
,3523347,Lukas,Johannes,Baron Müller,,
,3524458,Laura,Sophia,von Fischer,,
,3525569,Ben,Alexander,zu Richter,,
,3526670,Sophie,Maria,Baron Weber,,
,3527781,Max,,von Bauer,,
,3528892,Emma,Sophia,zu Schneider,,
,3530003,Paul,Elisabeth,Baron Koch,,
,3531114,Mia,Karl,von Wagner,,
,3532225,Leon,David,zu Becker,,
,3533336,Anna,Michael,Baron Müller,,
,3534447,Lukas,Johannes,von Fischer,,
,3535558,Laura,Sophia,zu Richter,,
,3536669,Ben,Alexander,Baron Weber,,
,3537780,Sophie,Maria,von Bauer,,
,3538891,Max,Michael,zu Schneider,,
,3540002,Emma,Sophia,Baron Koch,,
,3541113,Paul,Elisabeth,von Wagner,,
,3542224,Mia,Karl,zu Becker,,
,3543335,Leon,David,Baron Müller,,
,3544446,Anna,Michael,von Fischer,,
,3545557,Lukas,Johannes,zu Richter,,
,3546668,Laura,Sophia,Baron Weber,,
,3547779,Ben,Alexander,von Bauer,,
,3548890,Sophie,Maria,zu Schneider,,
,3550001,Max,Michael,Baron Koch,,
,3551112,Emma,Sophia,von Wagner,,
,3552223,Paul,Elisabeth,zu Becker,,
,3553334,Mia,Karl,Baron Müller,,
,3554445,Leon,David,von Fischer,,
,3555556,Anna,,zu Richter,,
,3556667,Lukas,Johannes,Baron Weber,,
,3557778,Laura,Sophia,von Bauer,,
,3558889,Ben,Alexander,zu Schneider,,
,3560000,Sophie,Maria,Baron Koch,,
,3561111,Max,Michael,von Wagner,,
,3562222,Emma,Sophia,zu Becker,,
,3563333,Paul,Elisabeth,Baron Müller,,
,3541245,Sophie,Johannes,Becker,,
,3542356,Max,David,Schmidt,,
,3543467,Emma,Alexander,Weber,,
,3544578,Paul,Sophia,Koch,,
,3545689,Mia,Elisabeth,Bauer,,
,3546790,Leon,Karl,Richter,,
,3547901,Anna,,Müller,,
,3548902,Lukas,David,Wagner,,
,3550123,Laura,Alexander,Becker,,
,3551245,Ben,Sophia,Schmidt,,
,3552356,Sophie,Elisabeth,Weber,,
,3553467,Max,Karl,Koch,,
,3554578,Emma,Johannes,Bauer,,
,3555689,Paul,David,Richter,,
,3556790,Mia,Alexander,Müller,,
,3557901,Leon,Sophia,Wagner,,
,3558902,Anna,Elisabeth,Becker,,
,3560123,Lukas,Karl,Schmidt,,
,3561245,Laura,Johannes,Weber,,
,3562356,Ben,David,Koch,,
,3563467,Sophie,Alexander,Bauer,,
,3564578,Max,Sophia,Richter,,
,3565689,Emma,Elisabeth,Müller,,
,3566790,Paul,Karl,Wagner,,
,3567901,Mia,Johannes,Becker,,
,3568902,Leon,David,Schmidt,,
,3570123,Anna,Alexander,Weber,,
,3438091,Carlos,Chen-Tanaka,Garcia-Liang,,
,3439275,Mohammed,Isabella-Marie,Weber-Schmidt,,
,3440867,Emily,Miguel-Ahmed,Richter-Liang,,
,3441391,Sophie,Maria-Nguyen,Nguyen-Patel,,
,3442744,Pierre,Michael-David,Richter-Suzuki,,
,3443380,Mia,Ahmed-Louise,Weber-Jones,,
,3444034,Marie,Nguyen-Karl,Jones-Smith,,
,3444933,Sophie,,Schneider-Brown,,
,3446023,Sakura,Louise-Elisabeth,Smith-Becker,,
,3447099,Linh,Karl-Alexander,Becker-Patel,,
,3448202,David,Chen-Miguel,Patel-Liang,,
,3448983,Sophie,Louise-Maria,Liang-Nguyen,,
,3449996,James,Nina-Sophia,Nguyen-Garcia,,
,3451834,Laura,Maria-Isabella,Garcia-Brown,,
,3452603,Laura,Isabella-Marie,Brown-Koch,,
,3453872,Sophie,Priya-Nguyen,Bauer-Weber,,
,3454452,Paul,David-Michael,Koch-Müller,,
,3455284,Omar,Nina-Louise,Müller-Schneider,,
,3456827,Michael,Elisabeth-Marie,Koch-Richter,,
,3457311,Yuki,Kofi-Ahmed,Mensah-Tanaka,,
,3458131,Michael,Isabella-Sophia,Tanaka-Yamamoto,,
,3459657,Yuki,Johannes-Michael,Yamamoto-Lefevre,,
,3459970,Ashley,Hiroshi-David,Lefevre-Hassan,,
,3461148,Sarah,Maria-Nguyen,Hassan-Weber,,
,3462807,Linh,Priya-Ahmed,Weber-Suzuki,,
,3463663,Paul,Nguyen-Michael,Suzuki-Al-Farsi,,
,3464267,Ashley,Karl-Alexander,Nguyen-Al-Farsi,,
,3465123,Linh,Karl-David,Al-Farsi-Smith,,
,3466789,Emma,Sophia-Marie,Koch-Jones,,
,3467890,Paul,Michael-David,Bauer-Smith,,
,3468901,Mia,Elisabeth-Marie,Richter-Jones,,
,3470123,Anna,Maria-Louise,Müller-Smith,,
,3471245,Lukas,David-Michael,Schneider-Jones,,
,3472356,Laura,Louise-Elisabeth,Weber-Smith,,
,3473467,Ben,Karl-Alexander,Koch-Jones,,
,3474578,Sophie,Johannes-Michael,Bauer-Smith,,
,3475689,Max,Alexander-David,Richter-Jones,,
,3476790,Emma,David-Michael,Müller-Smith,,
,3477901,Paul,,Wagner-Jones,,
,3478902,Mia,Sophia-Marie,Becker-Smith,,
,3480123,Leon,Elisabeth-Marie,Schmidt-Jones,,
,3481245,Anna,Karl-Alexander,Weber-Smith,,
,3482356,Lukas,,Koch-Jones,,
,3483467,Laura,David-Miguel,Bauer-Smith,,
,3484578,Ben,Alexander-Marie,Richter-Jones,,
,3485689,Sophie,Michael-David,Müller-Smith,,
,3486790,Max,Louise-Elisabeth,Wagner-Jones,,
,3487901,Emma,Karl-Ahmed,Becker-Smith,,
,3488902,Paul,Johannes-Michael,Schmidt-Jones,,
,3490123,Mia,David-Miguel,Weber-Smith,,
,3491245,Leon,Alexander-Marie,Koch-Jones,,
,3492356,Anna,Sophia-Louise,Bauer-Smith,,
,3493467,Lukas,Elisabeth-Marie,Richter-Jones,,
,3494578,Laura,Karl-Alexander,Müller-Smith,,
,3495689,Ben,Johannes-Michael,Wagner-Jones,,
,3496790,Sophie,David-Miguel,Becker-Smith,,
,3497901,Max,Michael-David,Schmidt-Jones,,
,3498902,Emma,Louise-Elisabeth,Weber-Smith,,
,3500123,Paul,Karl-Alexander,Koch-Jones,,
,3501245,Mia,Johannes-Michael,Bauer-Smith,,
,3502356,Leon,David-Miguel,Richter-Jones,,
,3503467,Anna,Alexander-Marie,Müller-Smith,,
,3504578,Lukas,Sophia-Louise,Wagner-Jones,,
,3505689,Laura,Elisabeth-Marie,Becker-Smith,,
,3506790,Ben,Karl-Alexander,Schmidt-Jones,,
,3507901,Sophie,Johannes-Michael,Weber-Smith,,
,3508902,Max,David-Miguel,Koch-Jones,,
,3510123,Emma,Alexander-Marie,Bauer-Smith,,
,3511245,Paul,Sophia-Louise,Richter-Jones,,
,3512356,Mia,Elisabeth-Marie,Müller-Smith,,
,3513467,Leon,Karl-Alexander,Wagner-Jones,,
,3514578,Anna,Johannes-Michael,Becker-Smith,,
,3515689,Lukas,David-Miguel,Schmidt-Jones,,
,3516790,Laura,Alexander-Marie,Weber-Smith,,
,3517901,Ben,Sophia-Louise,Koch-Jones,,
,3518902,Sophie,Elisabeth-Marie,Bauer-Smith,,
,3520123,Max,,Richter-Jones,,
,3521245,Emma,Johannes-Michael,Müller-Smith,,
,3522356,Paul,David-Miguel,Wagner-Jones,,
,3523467,Mia,Alexander-Marie,Becker-Smith,,
,3524578,Leon,Sophia-Louise,Schmidt-Jones,,
,3525689,Anna,Elisabeth-Marie,Weber-Smith,,
,3526790,Lukas,Karl-Alexander,Koch-Jones,,
,3527901,Laura,Johannes-Michael,Bauer-Smith,,
,3528902,Ben,David-Miguel,Richter-Jones,,
,3530123,Sophie,Alexander-Marie,Müller-Smith,,
,3531245,Max,Sophia-Louise,Wagner-Jones,,
,3532356,Emma,Elisabeth-Marie,Becker-Smith,,
,3533467,Paul,Karl-Alexander,Schmidt-Jones,,
,3534578,Mia,Johannes-Michael,Weber-Smith,,
,3535689,Leon,David-Miguel,Koch-Jones,,
,3536790,Anna,Alexander-Marie,Bauer-Smith,,
,3537901,Lukas,Sophia-Louise,Richter-Jones,,
,3538902,Laura,Elisabeth-Marie,Müller-Smith,,
,3540123,Ben,,Wagner-Jones,,
,3738612,Rajesh,Tatiana,El-Sayed,,
,3739033,Yuki,Sophia,Ivanov,,
,3740116,Hiroshi,Elisabeth,Lefevre,,
,3741036,Marta,Isabella,Bianchi,,
,3742140,Luca,Sophia,Koch,,
,3743037,James,Sophia,Ivanov,,
,3744537,Max,Miguel,Johnson,,
,3745044,Leon,Ahmed,Bauer,,
,3746242,Isabelle,Louise,Williams,,
,3747063,Lukas,Priya,Weber,,
,3748675,Yuki,Giovanni,Rossi,,
,3749824,Amara,Louise,Petrov,,
,3750221,Takashi,Francesca,Suzuki,,
,3751432,Michael,,Jones,,
,3752621,Sarah,,Dupont,,
,3753274,Hiroshi,,Petrov,,
,3754626,Sophie,,Schmidt,,
,3755107,Fatima,Louise,Brown,,
,3756602,David,Vladimir,Williams,,
,3757350,Jean,Kofi,Yamamoto,,
,3758491,Mohammed,Hiroshi,Martinez,,
,3759396,Jacques,Vladimir,Dupont,,
,3760075,Jessica,Isabella,Suzuki,,
,3761708,Olga,Nina,Koch,,
,3762016,Marie,Karl,Becker,,
,3763104,Giulia,Francesca,Bauer,,
,3763994,Olga,Francesca,Martinez,,
,3765668,Aisha,Francesca,El-Sayed,,
,3766558,Luca,Ahmed,Schneider,,
,3767358,Ashley,Hiroshi,Koch,,
,3768057,Max,Giovanni,Petrov,,
,3769118,Pavel,Tatiana,Durand,,
,3770049,Paul,Vladimir,Garcia,,
,3771582,Mohammed,Nguyen,Becker,,
,3772188,John,Alexander,Schneider,,
,3772978,Mateo,Alexander,Al-Farsi,,
,3774222,Jessica,Francesca,Ivanov,,
,3775493,Emily,Tatiana,Schneider,,
,3776468,Sophie,David,Rossi,,
,3777378,Elena,Sophia,Rossi,,
,3777899,Leon,Hiroshi,Ivanov,,
,3779875,Laura,Ahmed,Dupont,,
,3780068,Mohammed,Sophia,Al-Farsi,,
,3781627,Lukas,Tatiana,Brown,,
,3782676,Mateo,,Dupont,,
,3782914,Max,Johannes,Martinez,,
,3784147,Linh,Karl,Wagner,,
,3785249,Jacques,Michael,Ivanov,,
,3786266,Ivan,Ahmed,Schmidt,,
,3787532,Fatima,Nina,Petrov,,
